,Teams,1x2
69,"LKP Motor Lublin
Bytovia Bytow","2.45
3.20
2.55"
70,"Aplg Gdansk (W)
AZS Wroclaw (W)","3.20
4.00
1.80"
71,"Olimpia Szczecin (W)
LKS Rolnik Bied. (W)","1.42
4.70
5.20"
72,"Grorud IL
Strommen IF","3.10
3.70
1.95"
73,"Lillestrom SK
FK Jerv","1.25
5.20
9.00"
74,"Sandnes Ulf
Stjordals/Blink","1.85
3.90
3.30"
75,"Zvezda St Petersburg
Luki-Energiya V.luki","2.30
3.30
2.65"
76,"FC Gloria Buzau
Asf Comuna Recea","1.45
4.10
5.70"
77,"FC Unirea Slobozia
CSM Slatina","2.30
3.00
2.90"
78,"Clube Atlético Mineiro
Clube Athletico Paranaense","1.57
3.80
5.20"
79,"Grêmio Foot-Ball Porto Alegrense
Cuiaba Esporte Clube MT","1.40
3.90
6.70"
80,"Rio Preto SP
Marília Atlético Clube","4.50
3.90
1.57"
81,"Gremio Novorizontino SP
Botafogo FC B","3.00
3.40
2.05"
82,"Ferroviaria Futebol S/A
Atibaia SP","2.15
2.90
3.30"
83,"Velo Clube SP
Comercial SP","3.30
3.00
2.10"
84,"Osasco Audax SP
Primavera FC SP","1.70
3.40
4.50"
85,"Inter de Limeira SP
Xv de Piracicaba SP","3.20
3.20
2.05"
86,"Portuguesa Santista
CA Juventus","1.85
3.30
3.70"
87,"AA Ponte Preta B SP
Sao Bernardo FC","3.20
3.10
2.10"
88,"EC Agua Santa SP
Associação Portuguesa de Desportos","3.00
3.10
2.15"
89,"Curico Unido
Uni. de Concepcion","2.35
3.00
2.90"
90,"Cobresal
Deportes La Serena","1.42
3.90
6.70"
91,"Union La Calera
Universidad de Chile","2.15
3.30
3.00"
92,"SD Aucas
Independiente del Valle","2.35
3.70
2.40"
93,"Delfin SC
Guayaquil City F.C.","1.65
3.90
3.90"
94,"CT Universitario
CD Macará","2.90
3.00
2.35"
95,"Deportivo Iztapa
CSD Coban Imperial","1.75
3.60
3.80"
96,"Antigua GFC
Santa Lucia Cotzumalguapa FC","1.80
3.30
3.80"
97,"Deportivo Guastatoya
CSD Xelaju MC","1.70
3.30
4.40"
98,"Deportes Quindio
Deportivo Cali","5.70
2.90
1.70"
99,"CD Real San Andres
Deportivo Pasto","5.00
2.90
1.75"
100,"Envigado FC
Club Atletico Junior","3.90
2.65
2.10"
101,"Rionegro Águilas
Atletico Nacional","3.20
3.00
2.15"
102,"CS Union Huaral
Deportivo Coopsol","2.30
3.50
2.50"
103,"Pirata FC
Alianza Atletico","5.00
3.70
1.52"
104,"Santos FC ICA
Union Comercio","4.10
3.50
1.70"
105,"Vissel Kobe
Urawa Red Diamonds","2.30
3.80
2.50"
106,"Kawasaki Frontale
Yokohama F Marinos","1.52
4.70
4.20"
107,"Vegalta Sendai
FC Tokyo","4.10
3.50
1.75"
108,"Fujieda Myfc
Azul Claro Numazu","2.30
3.10
2.90"
109,"FC Gifu
Cerezo Osaka II","1.45
4.00
5.70"
110,"Gamba Osaka II
Blaublitz Akita","4.00
3.40
1.75"
111,"Nagano Parceiro
Gainare Tottori","1.90
3.30
3.60"
112,"Roasso Kumamoto
FC Imabari","2.30
3.00
2.90"
113,"Kamatamare Sanuki
Kagoshima United","2.90
3.20
2.20"
114,"Zhejiang Greentown
Wuhan Zall","5.50
3.00
1.70"
115,"Jiangxi Liansheng FC
Beijing Renhe FC","4.10
3.70
1.65"
116,"Chiangrai United
Muang Thong Utd","1.80
3.50
3.60"
117,"Prison Leopards
Green Eagles","4.10
3.20
1.80"
118,"eFußball Man City (dangerdim77)
eFußball Liverpool (slezaintima)","2.65
3.10
2.10"
119,"eFußball Manchester United (white_boy1927)
eFußbalI Chelsea (dm1trena) Esports","2.45
3.00
2.35"
120,"eFußbalI Chelsea (dm1trena) Esports
eFußball Tottenham Hotspur (d1psen)","2.00
3.50
2.60"
121,"eFußball Liverpool (slezaintima)
eFußball Manchester United (white_boy1927)","2.90
3.20
1.95"
122,"eFußball Manchester United (white_boy1927)
eFußball Man City (dangerdim77)","2.55
3.00
2.20"
123,"eFußball Tottenham Hotspur (d1psen)
eFußball Liverpool (slezaintima)","1.95
3.20
2.80"
124,"eFußball Liverpool (slezaintima)
eFußbalI Chelsea (dm1trena) Esports","2.90
3.00
2.05"
125,"eFußball Man City (dangerdim77)
eFußball Tottenham Hotspur (d1psen)","2.35
3.40
2.20"
126,"eFußbalI Chelsea (dm1trena) Esports
eFußball Man City (dangerdim77)","2.65
2.90
2.20"
127,"eFußball Tottenham Hotspur (d1psen)
eFußball Manchester United (white_boy1927)","2.45
3.20
2.20"
128,"eFußball Liverpool (slezaintima)
eFußball Man City (dangerdim77)","2.10
3.10
2.65"
129,"eFußbalI Chelsea (dm1trena) Esports
eFußball Manchester United (white_boy1927)","2.35
3.00
2.45"
130,"eFußball Tottenham Hotspur (d1psen)
eFußbalI Chelsea (dm1trena) Esports","2.60
3.50
2.00"
131,"eFußball Manchester United (white_boy1927)
eFußball Liverpool (slezaintima)","1.95
3.20
2.90"
132,"eFußball Man City (dangerdim77)
eFußball Manchester United (white_boy1927)","2.20
3.00
2.55"
133,"eFußball Liverpool (slezaintima)
eFußball Tottenham Hotspur (d1psen)","2.80
3.20
1.95"
134,"eFußball Tottenham Hotspur (d1psen)
eFußball Man City (dangerdim77)","2.20
3.40
2.35"
135,"eFußbalI Chelsea (dm1trena) Esports
eFußball Liverpool (slezaintima)","2.05
3.00
2.90"
136,"eFußball Man City (dangerdim77)
eFußbalI Chelsea (dm1trena) Esports","2.20
2.90
2.65"
137,"eFußball Manchester United (white_boy1927)
eFußball Tottenham Hotspur (d1psen)","2.20
3.20
2.45"
